ORDER_ID,ORDER_DATE,CITY,VEHICLE_TYPE,DISTANCE_KM,DELIVERY_TIME_MIN,IS_ONTIME,DRIVER_RATING
ORD1001,2025-03-13,Pune,Scooter,51.7,61,No,5.0
ORD1002,2025-03-16,Hyderabad,Van,33.6,90,Yes,3.9
ORD1003,2025-03-22,Pune,Scooter,44.8,117,Yes,3.3
ORD1004,2025-03-01,Hyderabad,Scooter,27.1,50,No,3.0
ORD1005,2025-03-04,Pune,Bike,33.1,49,Yes,4.1
ORD1006,2025-03-28,Hyderabad,Scooter,7.0,31,No,3.3
ORD1007,2025-03-04,Mumbai,Truck,34.3,11,Yes,4.4
ORD1008,2025-03-08,Bengaluru,Truck,23.9,92,Yes,3.7
ORD1009,2025-03-10,Pune,Truck,54.3,51,No,3.3
ORD1010,2025-03-20,Bengaluru,Truck,38.0,78,No,3.0
ORD1011,2025-03-22,Delhi,Van,17.9,57,No,4.3
ORD1012,2025-03-19,Delhi,Scooter,10.6,16,Yes,3.9
ORD1013,2025-03-05,Delhi,Bike,41.9,59,Yes,3.9
ORD1014,2025-03-24,Bengaluru,Bike,46.2,112,No,4.0
ORD1015,2025-03-07,Bengaluru,Scooter,19.3,108,Yes,4.5
ORD1016,2025-03-25,Bengaluru,Bike,41.5,111,Yes,4.3
ORD1017,2025-03-25,Delhi,Van,59.3,111,No,3.7
ORD1018,2025-03-13,Mumbai,Bike,29.1,61,No,4.5
ORD1019,2025-03-27,Pune,Van,15.3,75,Yes,4.1
ORD1020,2025-03-02,Pune,Van,19.6,70,No,4.4
ORD1021,2025-03-07,Hyderabad,Van,5.1,110,Yes,3.2
ORD1022,2025-03-08,Pune,Van,53.4,71,Yes,3.7
ORD1023,2025-03-24,Bengaluru,Van,21.6,67,Yes,4.5
ORD1024,2025-03-15,Bengaluru,Scooter,47.5,102,Yes,4.0
ORD1025,2025-03-25,Chennai,Truck,48.6,76,Yes,3.8
ORD1026,2025-03-18,Bengaluru,Scooter,50.2,109,No,4.5
ORD1027,2025-03-06,Hyderabad,Bike,16.7,84,Yes,4.4
ORD1028,2025-03-26,Pune,Van,3.9,71,Yes,3.7
ORD1029,2025-03-14,Delhi,Bike,54.7,39,No,3.7
ORD1030,2025-03-09,Chennai,Bike,22.8,57,Yes,3.1
ORD1031,2025-03-10,Hyderabad,Scooter,48.7,18,Yes,3.1
ORD1032,2025-03-21,Pune,Van,59.7,64,Yes,4.7
ORD1033,2025-03-20,Mumbai,Truck,7.1,109,No,3.4
ORD1034,2025-03-17,Hyderabad,Bike,48.4,72,Yes,4.2
ORD1035,2025-03-20,Bengaluru,Scooter,27.6,117,Yes,3.7
ORD1036,2025-03-06,Delhi,Bike,8.6,73,Yes,4.7
ORD1037,2025-03-16,Hyderabad,Scooter,45.2,66,No,4.7
ORD1038,2025-03-16,Chennai,Truck,52.4,104,Yes,4.4
ORD1039,2025-03-01,Hyderabad,Scooter,4.1,18,No,3.0
ORD1040,2025-03-19,Chennai,Truck,53.4,81,No,3.5
ORD1041,2025-03-04,Chennai,Scooter,25.6,78,No,3.5
ORD1042,2025-03-25,Hyderabad,Bike,21.0,62,Yes,4.6
ORD1043,2025-03-18,Chennai,Truck,3.3,25,No,4.3
ORD1044,2025-03-20,Delhi,Scooter,15.8,97,Yes,4.6
ORD1045,2025-03-30,Bengaluru,Scooter,33.7,16,Yes,3.0
ORD1046,2025-03-20,Mumbai,Van,3.3,20,Yes,4.5
ORD1047,2025-03-20,Hyderabad,Scooter,33.4,108,Yes,4.8
ORD1048,2025-03-15,Chennai,Bike,24.8,23,Yes,3.9
ORD1049,2025-03-08,Bengaluru,Truck,12.0,116,Yes,4.1
ORD1050,2025-03-01,Chennai,Van,20.1,60,No,4.4
ORD1051,2025-03-02,Bengaluru,Truck,41.4,88,Yes,4.5
ORD1052,2025-03-10,Hyderabad,Bike,9.6,19,No,3.4
ORD1053,2025-03-26,Chennai,Bike,4.5,105,No,3.9
ORD1054,2025-03-01,Pune,Bike,30.4,82,No,3.7
ORD1055,2025-03-11,Mumbai,Van,25.8,72,No,4.4
ORD1056,2025-03-21,Mumbai,Scooter,18.1,111,No,4.5
ORD1057,2025-03-24,Hyderabad,Bike,40.0,25,No,4.4
ORD1058,2025-03-04,Pune,Scooter,9.3,66,No,4.7
ORD1059,2025-03-12,Pune,Truck,5.3,108,Yes,4.8
ORD1060,2025-03-19,Chennai,Van,53.3,34,Yes,4.9
ORD1061,2025-03-24,Hyderabad,Bike,8.3,60,Yes,3.6
ORD1062,2025-03-29,Bengaluru,Van,9.0,55,No,3.1
ORD1063,2025-03-03,Pune,Truck,4.7,20,Yes,3.2
ORD1064,2025-03-01,Hyderabad,Scooter,57.5,28,Yes,3.4
ORD1065,2025-03-01,Mumbai,Bike,33.4,103,Yes,4.2
ORD1066,2025-03-05,Delhi,Van,20.8,58,No,4.0
ORD1067,2025-03-22,Chennai,Truck,17.0,117,Yes,5.0
ORD1068,2025-03-06,Pune,Bike,39.8,117,No,3.7
ORD1069,2025-03-07,Delhi,Truck,33.1,18,No,4.9
ORD1070,2025-03-09,Mumbai,Van,21.9,98,Yes,3.2
ORD1071,2025-03-21,Delhi,Scooter,8.7,118,No,4.2
ORD1072,2025-03-18,Pune,Truck,11.5,100,Yes,3.8
ORD1073,2025-03-16,Bengaluru,Scooter,30.5,14,Yes,3.4
ORD1074,2025-03-05,Delhi,Bike,39.5,12,Yes,4.0
ORD1075,2025-03-10,Hyderabad,Scooter,55.9,105,Yes,3.1
ORD1076,2025-03-11,Mumbai,Scooter,26.9,106,Yes,3.7
ORD1077,2025-03-27,Chennai,Scooter,5.0,55,Yes,3.7
ORD1078,2025-03-25,Mumbai,Scooter,12.5,16,Yes,4.2
ORD1079,2025-03-02,Pune,Scooter,23.2,16,No,4.5
ORD1080,2025-03-02,Hyderabad,Scooter,15.8,25,No,3.2
ORD1081,2025-03-08,Mumbai,Van,19.2,15,Yes,4.1
ORD1082,2025-03-10,Delhi,Van,31.4,81,No,3.5
ORD1083,2025-03-26,Delhi,Scooter,48.6,72,No,4.9
ORD1084,2025-03-04,Bengaluru,Truck,2.1,93,Yes,3.0
ORD1085,2025-03-07,Hyderabad,Van,39.3,93,Yes,4.5
ORD1086,2025-03-24,Hyderabad,Truck,31.0,22,Yes,4.1
ORD1087,2025-03-12,Chennai,Van,8.6,59,Yes,4.8
ORD1088,2025-03-15,Chennai,Bike,15.8,104,Yes,3.4
ORD1089,2025-03-19,Chennai,Scooter,42.7,12,No,4.1
ORD1090,2025-03-28,Pune,Bike,53.9,78,No,3.7
ORD1091,2025-03-01,Hyderabad,Bike,54.3,18,Yes,3.1
ORD1092,2025-03-15,Bengaluru,Scooter,22.7,93,No,4.2
ORD1093,2025-03-04,Chennai,Bike,36.7,26,No,3.2
ORD1094,2025-03-22,Delhi,Van,25.4,108,Yes,4.6
ORD1095,2025-03-13,Chennai,Bike,27.0,67,No,4.2
ORD1096,2025-03-26,Chennai,Scooter,12.2,99,Yes,3.9
ORD1097,2025-03-11,Hyderabad,Van,33.8,118,Yes,4.8
ORD1098,2025-03-21,Mumbai,Van,17.0,32,No,3.4
ORD1099,2025-03-12,Mumbai,Van,43.8,89,Yes,3.3
ORD1100,2025-03-05,Delhi,Van,58.3,38,Yes,3.9
ORD1101,2025-03-07,Pune,Truck,18.3,54,Yes,3.3
ORD1102,2025-03-05,Chennai,Bike,32.6,59,No,4.1
ORD1103,2025-03-16,Delhi,Truck,43.6,101,No,4.4
ORD1104,2025-03-21,Pune,Truck,43.9,18,No,4.7
ORD1105,2025-03-04,Delhi,Van,39.9,43,No,3.5
ORD1106,2025-03-13,Chennai,Bike,17.4,11,No,4.3
ORD1107,2025-03-05,Delhi,Truck,34.2,72,No,3.4
ORD1108,2025-03-21,Delhi,Van,43.5,38,Yes,5.0
ORD1109,2025-03-09,Bengaluru,Bike,31.0,32,Yes,3.9
